,,,,,Product List,,,,,,,,
1052,,,jet shower classic,,,,1,,250,,,500,
1053,,,warma 5/32 & 1/4 rex,,,,1,,30,,,100,
1054,,,flood light 50w polo,,,,1,,2400,,,4500,
1055,,,flood light 30w polo,,,,1,,2690,,,2690,
1056,,,flood light 20w polo,,,,1,,1680,,,2800,
1057,,,flood light 10w polo,,,,1,,1020,,,2000,
1058,,,winner toilet shower(cp) complete,,,,1,,550,,,1200,
1059,,,tower rod ( single),,,,1,,460,,,700,
1060,,,"push waste 6""",,,,1,,550,,,850,
1061,,,soap dish steel,,,,1,,110,,,350,
1062,,,ac breaker shoe (safety),,,,1,,850,,,1450,
1063,,,key holder welcome,,,,1,,350,,,500,
1064,,,fuse (glass),,,,1,,8,,,50,
1065,,,"hood jali 4""",,,,1,,275,,,380,
1066,,,"ktz ball valve 1/2"" china",,,,1,,570,,,750,
1067,,,"dabi screw 1"" x 6",,,,1,,108,,,180,
1068,,,double tape (feet),,,,1,,11,,,30,
1069,,,dori nylon (bundle),,,,1,,90,,,250,
1070,,,"ball vale 1"" (master)",,,,1,,616,,,950,
1071,,,grohee toilet shower CP,,,,1,,1350,,,2500,
1072,,,china mixer nut (m),,,,1,,120,,,450,
1073,,,smt adopter,,,,1,,110,,,200,
1074,,,seat cover nut (porta),,,,1,,100,,,200,
1135,,,"ball vale 1/2"" (master)",,,,1,,221,,,450,
1136,,,"ball vale 3/4"" (master)",,,,1,,252,,,750,
1137,,,wall hanging bolt kit (ss),,,,1,,480,,,900,
1138,,,plier (heavy),,,,1,,560,,,700,
1139,,,"disc masala 4"" ",,,,1,,50,,,100,
1140,,,"disc masala 5"" ",,,,1,,65,,,120,
1141,,,"disc masala 7"" ",,,,1,,160,,,250,
1142,,,brass polish metal,,,,1,,240,,,450,
1143,,,"scotch tape 2"" (100 yrd.)",,,,1,,375,,,550,
1144,,,black cement,,,,1,,27,,,40,
1145,,,khunti crome ,,,,1,,80,,,150,
1146,,,"baitun tee 3/4""",,,,1,,7.8,,,15,
1147,,,"alpine waste pipe 1-1/4"" (complete)",,,,1,,90,,,450,
1148,,,extention (101),,,,1,,165,,,400,
1149,,,extention,,,,1,,455,,,850,
1150,,,sea star crack filler (1 kg),,,,1,,320,,,450,
1151,,,"handle 8"" (bath room)",,,,1,,300,,,600,
1152,,,extention (919) 4 yrd,,,,1,,260,,,600,
1153,,,"floor waste steel 6""",,,,1,,280,,,500,
1154,,,waste pipe (crome plastic),,,,1,,210,,,400,
1155,,,ac bracket universal,,,,1,,150,,,250,
1156,,,l bracket 8*10 (black angle),,,,1,,125,,,220,
1157,,,"socket valve 1"" (mian)",,,,1,,1180,,,1650,
1158,,,sea star (clip),,,,1,,200,,,250,
1159,,,sea star (wedge),,,,1,,300,,,350,
1160,,,sea star plier,,,,1,,900,,,1200,
1161,,,km power plug (p-99),,,,1,,270,,,500,
1162,,,magic depoxi (large),,,,1,,190,,,250,
1163,,,km 2 pin holder,,,,1,,50,,,100,
1164,,,zahid sink mixer (aqua),,,,1,,2450,,,5000,
1165,,,miraj termite (1 ltr.),,,,1,,2500,,,4000,
887,,,bulb (E-14) milkey,,,,1,,175,,,300,
888,,,pump drain,,,,1,,90,,,150,
889,,,lamp holder brass,,,,1,,59,,,200,
890,,,male female (M),,,,1,,70.8333,,,150,
891,,,missile breaker button,,,,1,,90,,,150,
892,,,MT pad lock 25mm,,,,1,,261.25,,,450,
893,,,coolar tooti (lever),,,,1,,91.666,,,200,
894,,,"wall tiki 3""",,,,1,,7,,,20,
895,,,L key set (tera),,,,1,,200,,,350,
896,,,L key set (newton),,,,1,,380,,,580,
897,,,flush tank (grace),,,,1,,1500,,,2500,
898,,,motor nut,,,,1,,17.5,,,50,
899,,,asf basin mixer H,,,,1,,4000,,,7000,
900,,,"nut bolt 1/4 x 1/2"" (galv.)",,,,1,,3.5,,,10,
901,,,"suction pipe 1""",,,,1,,43.5,,,100,
902,,,"juiblee clamp 2-1/2""",,,,1,,23,,,70,
903,,,samad bond tube (L),,,,1,,175,,,250,
904,,,filter foam ppf G(heavy),,,,1,,200,,,500,
905,,,Wahu pad lock 70mm,,,,1,,450,,,780,
906,,,extention ,,,,1,,600,,,950,
907,,,glass,,,,1,,200,,,450,
908,,,ppr cutter (M),,,,1,,580,,,750,
909,,,"uniqe comode nut 6"" (pair)",,,,1,,55,,,280,
910,,,chain pipe 1-1/4 meter (ajeet),,,,1,,250,,,750,
911,,,tee cock (plastic),,,,1,,120,,,200,
912,,,hockey pipe,,,,1,,60,,,250,
913,,,winner toilet shower (set color) ,,,,1,,400,,,900,
914,,,tile gola,,,,1,,300,,,400,
915,,,"parda pipe 1"" GT (feet)",,,,1,,34.375,,,60,
916,,,thimble 7/64,,,,1,,20,,,30,
917,,,"non return valve 3/4"" (H)",,,,1,,800,,,1100,
918,,,cable 7/36 (single),,,,1,,150,,,290,
981,,,pedistal,,,,1,,1100,,,2500,
982,,,paper holder,,,,1,,340,,,650,
983,,,white cement,,,,1,,45,,,80,
984,,,mixer nut vanity ( small),,,,1,,100,,,350,
985,,,meter regulator,,,,1,,450,,,750,
986,,,jet flower,,,,1,,60,,,100,
987,,,brush holder,,,,1,,300,,,750,
988,,,cup wati,,,,1,,150,,,200,
989,,,ac gas (R-22),,,,1,,2540,,,3000,
990,,,soap dish fancy,,,,1,,110,,,550,
991,,,"fan rod 24"" (H)",,,,1,,290,,,480,
992,,,"mixer pipe 3/8"" (crome) 1pcs.",,,,1,,370,,,700,
993,,,presure car washer (smt 2560),,,,1,,12500,,,14500,
994,,,"check valve 1""(civic)",,,,1,,700,,,950,
995,,,board wood (L),,,,1,,630,,,750,
996,,,board plastic 3p,,,,1,,160,,,300,
997,,,"tee arm 9"" & 13"" ",,,,1,,470,,,900,
998,,,goda pair adjustable (china),,,,1,,570,,,850,
999,,,side pilar cock,,,,1,,1000,,,1500,
1000,,,sea star tile bond,,,,1,,490,,,550,
1001,,,"nalka mixer 6"" medium",,,,1,,1400,,,3800,
1002,,,"mirror 18"" x 24"" (5mm)",,,,1,,1750,,,2500,
1003,,,dawn mirror (sqare),,,,1,,720,,,1500,
1004,,,BTM seat cover,,,,1,,1080,,,2200,
1005,,,BTM thimble,,,,1,,183,,,550,
1006,,,tyre 6 ply,,,,1,,2500,,,3200,
1007,,,"npi warma 6mm (4"")",,,,1,,125,,,200,
1008,,,amber capacitor 20uf,,,,1,,390,,,600,
1009,,,geyser element 2000 w (italy),,,,1,,2100,,,2600,
1010,,,"ppr plug 1""",,,,1,,41,,,60,
1011,,,cob light (5w),,,,1,,225,,,300,
1012,,,heater supply (small),,,,1,,800,,,1100,
1075,,,bike lock,,,,1,,450,,,650,
1076,,,Wd 40 (100ml orignal),,,,1,,510,,,650,
1077,,,Wd 40 (200ml orignal),,,,1,,700,,,850,
1078,,,"steel washer 5/16""",,,,1,,13.719,,,50,
1079,,,"disc steel 4""(mm) dewalt",,,,1,,25,,,80,
1080,,,cable tie 165m,,,,1,,140,,,240,
1081,,,cable tie 200m,,,,1,,160,,,280,
1082,,,cable tie (dzn) L,,,,1,,70,,,120,
1083,,,timer haier (4 point),,,,1,,370,,,600,
1084,,,db box 1 meter (DR)  connect,,,,1,,3430,,,4500,
1085,,,"shisha bracket 4""",,,,1,,84,,,150,
1086,,,gloves nylon,,,,1,,91.6666,,,150,
1087,,,"LCD bracket 32"" & 42"" ",,,,1,,250,,,650,
1088,,,dori sootar (small),,,,1,,48.18,,,100,
1089,,,dori saal (small),,,,1,,25,,,50,
1090,,,marking dori,,,,1,,166,,,250,
1091,,,ali akber guardian (250ml),,,,1,,550,,,800,
1092,,,english 3/29 pak,,,,1,,1680,,,2000,
1093,,,english 7/29 pak,,,,1,,3510,,,3800,
1094,,,glue gun stick,,,,1,,31,,,60,
1095,,,paint rular (black cat),,,,1,,548,,,850,
1096,,,china mixer nut (L),,,,1,,260,,,680,
1097,,,cob open (5w),,,,1,,330,,,480,
1098,,,"ktz ball vale 3/4"" china",,,,1,,790,,,1050,
1099,,,glass sucker 2pcs.,,,,1,,950,,,1250,
1100,,,"drill machine 1/2"" (bosch)",,,,1,,4400,,,5500,
1101,,,E clip set,,,,1,,60,,,100,
1102,,,"grinder 5""",,,,1,,3600,,,6000,
1103,,,stove double auto,,,,1,,3850,,,5800,
1104,,,ac breaker shoe (busch),,,,1,,520,,,950,
1105,,,wire brush china,,,,1,,75,,,150,
1166,,,GFC capacitor 2.5uf,,,,1,,130,,,220,
1167,,,km multi (double),,,,1,,390,,,650,
1168,,,amber capacitor 3.5uf,,,,1,,110,,,200,
1169,,,GFC capacitor 3uf,,,,1,,120,,,250,
1170,,,GFC capacitor 3.5uf,,,,1,,145,,,250,
1171,,,GFC capacitor 4.5uf,,,,1,,145,,,300,
1172,,,holder porceline gamla,,,,1,,42,,,100,
1173,,,local main switch (H),,,,1,,380,,,600,
1174,,,l bracket 10*12 (black angle),,,,1,,150,,,250,
1175,,,foot pump,,,,1,,700,,,1000,
1176,,,jpi mobile multi,,,,1,,83.333,,,150,
1177,,,sensor holder,,,,1,,800,,,1200,
1178,,,drill cheni (H),,,,1,,450,,,600,
1179,,,wiper steel small (special),,,,1,,400,,,800,
1180,,,wiper steel medium (special),,,,1,,600,,,900,
1181,,,ali akber guarden care (250ml),,,,1,,400,,,650,
1182,,,duct nails (dzn.),,,,1,,7.5,,,40,
1183,,,dori fish (pkt.),,,,1,,50,,,100,
1184,,,"brass socket 1/2""",,,,1,,115,,,250,
1185,,,dori nylon (loose),,,,1,,10,,,30,
1186,,,dori parachute (nalki),,,,1,,20,,,50,
1187,,,gola (sootar),,,,1,,30,,,50,
1188,,,"float valve 3/4"" (N)",,,,1,,495,,,900,
1189,,,"float valve 1"" (N)",,,,1,,560,,,980,
1190,,,tank 300ltr. (king master),,,,1,,3870,,,5500,
1191,,,tank 500ltr. (king master),,,,1,,6350,,,8500,
1192,,,tank 800ltr. (king master),,,,1,,8680,,,10500,
1193,,,tank 1000ltr. (master),,,,1,,15000,,,16500,
1194,,,coolar pump (25w) M,,,,1,,460,,,650,
1195,,,l bracket 12*14 (black angle),,,,1,,175,,,300,
1196,,,drain pipe (special) wm,,,,1,,225,,,450,
1197,,,"warma 6 mm (hilti) 6""",,,,1,,100,,,150,
1224,,,bull extention (GN-1030-30) ,,,,1,,1650,,,2500,
1225,,,bull extention (GN-1040-30) 5m,,,,1,,2200,,,3500,
1226,,,"steel washer 3/8""",,,,1,,33,,,60,
1227,,,camelion cell AA +AAA,,,,1,,70,,,100,
1228,,,emulsion balti (active),,,,1,,1600,,,3500,
1229,,,weather coat galon ,,,,1,,1550,,,2300,
1230,,,MT anti rustspray 110ml wd 40,,,,1,,189,,,350,
1231,,,bull extention (GN-1330-30) 3m,,,,1,,2100,,,3000,
1232,,,"TFE non return valve 1""",,,,1,,1465,,,1850,
1233,,,kiwi polish revival,,,,1,,380,,,600,
1234,,,bull extention (6 USB),,,,1,,1960,,,3500,
1235,,,popular fan box,,,,1,,270,,,350,
1236,,,water filter (aqua oasis),,,,1,,5500,,,7500,
1237,,,bearing 6203 NTN,,,,1,,130,,,250,
1238,,,basin waste plastic,,,,1,,40,,,100,
1239,,,smd downlight 10w adj.,,,,1,,370,,,550,
1240,,,kavia wire small,,,,1,,30,,,50,
1241,,,mosketo racket,,,,1,,1450,,,2200,
1242,,,"warma 1/2"" rex",,,,1,,120,,,250,
1243,,,schneider breaker (100amp),,,,1,,1950,,,3000,
1244,,,energy saver 85w,,,,1,,650,,,1550,
1245,,,driver screw set (afco),,,,1,,600,,,900,
1246,,,"driver screw 6"" afirm",,,,1,,125,,,200,
1247,,,"driver screw 4"" FTC",,,,1,,80,,,200,
1248,,,"driver screw 6"" denfos",,,,1,,175,,,350,
1249,,,washer spring dzn.,,,,1,,40,,,100,
1250,,,zanjeer ,,,,1,,45,,,100,
1251,,,packing dori small,,,,1,,47.368,,,100,
1252,,,go rasi small,,,,1,,33.3333,,,50,
1253,,,go rasi (kg),,,,1,,170,,,230,
1254,,,paper cutter (H),,,,1,,300,,,450,
1414,,,"TFE non return valve 1-1/4""",,,,1,,3819,,,5500,
1415,,,basin bolt kit ss,,,,1,,160,,,400,
1416,,,knob wm,,,,,,35,,,80,
1417,,,ac tape wraping,,,,,,125,,,180,
1418,,,ac capacitor 35uf,,,,1,,600,,,850,
1419,,,ac capacitor 40uf,,,,1,,630,,,880,
1420,,,ac capacitor 45uf,,,,,,630,,,880,
1421,,,ac capacitor 50uf,,,,1,,550,,,900,
1422,,,"hood pipe 2m 6""",,,,1,,700,,,950,
1423,,,"hood pipe 3m 6""",,,,1,,900,,,1350,
1424,,,"hood pipe 5m 6""",,,,1,,1200,,,1650,
1425,,,torqe termite 100ml,,,,1,,260,,,500,
1426,,,ac kit silver 10feet,,,,1,,1500,,,1700,
1427,,,ac kit silver 15feet,,,,1,,2250,,,2600,
1428,,,ac kit silver 20feet,,,,1,,3000,,,3400,
1429,,,coolar pump (45w),,,,1,,1450,,,2200,
1430,,,smt hole saw 38mm ss,,,,1,,1254,,,2200,
1431,,,wiper brush,,,,1,,200,,,300,
1432,,,cooker pin,,,,,,7,,,40,
1433,,,ac charging guage ,,,,1,,600,,,900,
1434,,,ac adopter 410,,,,1,,150,,,250,
1435,,,ac charging lead ,,,,1,,200,,,450,
1436,,,"ac flair nut 1/2""",,,,1,,125,,,180,
1437,,,"ac flair nut 1/4""",,,,1,,35,,,100,
1438,,,"ac flair nut 3/8""",,,,1,,70,,,150,
1439,,,"ac flair nut 5/8""",,,,1,,155,,,220,
1440,,,fan nut,,,,1,,5,,,20,
1441,,,"jali exaust 12"" x12"" fancy",,,,1,,350,,,550,
1442,,,"jali exaust 15"" x15"" fancy",,,,1,,450,,,650,
1443,,,coolar tooti ,,,,1,,58.333,,,100,
1444,,,"TFE floor waste (jali 6"")",,,,1,,365,,,850,
1445,,,miraj termite 250ml,,,,1,,630,,,1000,
1602,,,polo lite 3G,,,,1,,268,,,490,
1603,,,polo lite 4G,,,,1,,297,,,550,
1604,,,polo lite 6G,,,,1,,485,,,680,
1605,,,polo lite 1+1,,,,1,,221,,,390,
1606,,,polo lite 2+1,,,,1,,260,,,450,
1607,,,polo lite 3+1,,,,1,,297,,,490,
1608,,,polo lite 2+2,,,,1,,297,,,490,
1609,,,polo lite 5+1,,,,1,,485,,,650,
1610,,,polo lite 4+2,,,,1,,485,,,690,
1611,,,polo lite 7+1,,,,1,,511,,,780,
1612,,,polo lite 6+2,,,,1,,511,,,850,
1613,,,polo lite 8+2,,,,1,,539,,,890,
1614,,,polo lite 2way,,,,1,,210,,,390,
1615,,,polo lite bell push ,,,,1,,254,,,450,
1616,,,polo lite bell push double,,,,1,,275,,,550,
1617,,,polo lite light plug,,,,1,,310,,,600,
1618,,,multi light plug G&L,,,,1,,460,,,750,
1619,,,multi light plug RC,,,,1,,335,,,500,
1620,,,uniqe saifan (Heavy),,,,1,,750,,,1500,
1621,,,polo lite pp,,,,1,,324,,,600,
1622,,,polo lite fan dimer,,,,1,,120,,,250,
1623,,,"fan rod 18"" (H)",,,,1,,235,,,380,
1624,,,wire lock zanjeer,,,,1,,380,,,500,
1625,,,safety goggle,,,,1,,80,,,250,
1626,,,battery terminal pair,,,,1,,240,,,380,
1627,,,factor smd 12w adj.,,,,1,,360,,,550,
1628,,,wati auzar indian,,,,1,,350,,,950,
1629,,,"driver screw 8"" denfos",,,,1,,216.66,,,380,
1630,,,bouncer termite 250ml,,,,1,,400,,,800,
1631,,,cell flat,,,,1,,50,,,100,
1632,,,ampere meter,,,,1,,1950,,,2500,
1633,,,chabi 16-17mm,,,,1,,147,,,270,
1665,,,capacitor 200-250 starting,,,,1,,280,,,450,
1666,,,"italo ball valve 1""",,,,1,,1595,,,1950,
1667,,,kitchen hinges 3D,,,,1,,290,,,400,
1668,,,spray pump,,,,1,,180,,,280,
1669,,,elfy 20grm (star),,,,1,,100,,,150,
1670,,,B clean polish spray,,,,1,,230,,,500,
1671,,,shoe 3 pin light (N),,,,1,,62.5,,,120,
1672,,,"italo ball valve 1/2""",,,,,,822,,,1080,
1673,,,fan bracket clamp ,,,,1,,175,,,400,
1674,,,"ktc ball valve 1""",,,,1,,2097,,,2450,
1675,,,cooker ruber,,,,1,,117,,,300,
1676,,,"ktc ball valve 1/2""",,,,1,,913,,,1190,
1677,,,spray gun big,,,,1,,850,,,2350,
1678,,,bracket fan al-ahmed,,,,1,,6500,,,8500,
1679,,,osso multi light (single) ,,,,1,,370,,,600,
1680,,,stove burner (S),,,,1,,150,,,400,
1681,,,tap filter ,,,,1,,70,,,120,
1682,,,sink waste china (single),,,,1,,850,,,1500,
1683,,,steel wire ,,,,1,,530,,,880,
1684,,,iron seeco ,,,,1,,2950,,,4000,
1685,,,capacitor 250-300 starting,,,,1,,300,,,450,
1686,,,drain pipe (medium) wm,,,,1,,150,,,250,
1687,,,lcd nut bolt,,,,1,,10,,,30,
1688,,,stove burner (M),,,,1,,250,,,500,
1689,,,l key 4&5 single,,,,1,,45,,,80,
1690,,,carpet brush,,,,1,,150,,,250,
1691,,,hook # 2-4-6,,,,1,,1.4,,,10,
1692,,,stove burner (L),,,,1,,650,,,950,
1693,,,cell oppo AA & AAA,,,,1,,17.5,,,50,
1694,,,"paint brush 1"" (N)",,,,1,,23,,,50,
1695,,,bib cock plastic vip,,,,1,,65,,,180,
1696,,,"mixer pipe 24"" (crome)",,,,1,,400,,,800,
1697,,,smt spray gun,,,,1,,1600,,,2200,
919,,,cell dabi ,,,,1,,70,,,150,
920,,,head crome (profit),,,,1,,160,,,350,
921,,,head crome (aqua),,,,1,,70,,,300,
922,,,"float valve 1/2"" (N)",,,,1,,440,,,750,
923,,,emergency cell (single),,,,1,,111.111,,,250,
924,,,Ari china fancy,,,,1,,340,,,550,
925,,,"hand level 9""",,,,1,,90,,,150,
926,,,door closer,,,,1,,1700,,,2500,
927,,,"dabi screw 5/8"" x 6",,,,1,,77,,,150,
928,,,"dabi screw 1-1/2"" x 6",,,,1,,148,,,220,
929,,,"dabi screw 1-1/2"" x 8",,,,1,,180,,,250,
930,,,"dabi screw 2"" x 6",,,,1,,200,,,290,
931,,,zahid tee cock (profit),,,,1,,825,,,1250,
932,,,zahid double bib cock (profit),,,,1,,1890,,,2500,
933,,,motor pulli,,,,1,,75,,,200,
934,,,pilot set,,,,1,,425,,,600,
935,,,RBS ball valve,,,,1,,390,,,650,
936,,,"Hot pipe 12"" (1pcs.)",,,,1,,120,,,300,
937,,,tarpine oil (400 ml),,,,1,,215,,,280,
938,,,"paint brush 2"" (H)",,,,1,,84,,,150,
939,,,"paint brush 4"" (N)",,,,1,,160,,,250,
940,,,"jet shower 5"" (5way)",,,,1,,700,,,1200,
941,,,"Hot pipe 18"" (1pcs.)",,,,1,,175,,,300,
942,,,"Hot pipe 24"" (1pcs.)",,,,1,,190,,,350,
943,,,zahid sink mixer (profit),,,,1,,2850,,,5500,
944,,,zahid sink mixer (flower),,,,1,,3200,,,6000,
945,,,sink mixer ARK,,,,1,,2052,,,3000,
946,,,zahid basin mixer (flower),,,,1,,3500,,,5000,
947,,,basin mixer ARK,,,,1,,2000,,,3000,
948,,,zahid basin mixer (aqua),,,,1,,2450,,,4500,
949,,,zahid wall shower (flower),,,,1,,5000,,,8000,
1106,,,"warma 6mm (hilti) 4""",,,,1,,65,,,100,
1107,,,donkey pump,,,,1,,8000,,,12000,
1108,,,carbon bush (normal),,,,1,,50,,,100,
1109,,,gola float valve,,,,1,,60,,,150,
1110,,,"masking tape 1"" (25yrds.)",,,,1,,95,,,150,
1111,,,l key set (star),,,,1,,550,,,800,
1112,,,board 3p blank,,,,1,,420,,,480,
1113,,,sink waste set (double),,,,1,,790,,,1850,
1114,,,uniqe saifan tiki (plastic),,,,1,,85,,,280,
1115,,,htc chain pipe 1mtr.,,,,1,,270,,,500,
1116,,,"ball valve 2"" (BTM supreme)",,,,1,,5834,,,6500,
1117,,,SBR zydex galon,,,,1,,2000,,,3000,
1118,,,SBR zydex 1 ltr,,,,1,,500,,,900,
1119,,,mokito killer (bulb),,,,1,,800,,,1200,
1120,,,"pump nozle 1-1/4""",,,,1,,75,,,180,
1121,,,"pump nozle 1-1/2""",,,,1,,95,,,250,
1122,,,"pump nozle 2""",,,,1,,150,,,280,
1123,,,"IA safety valve 1""( khara)",,,,1,,444.88,,,1000,
1124,,,"man hole 12"" (plastic)",,,,1,,800,,,1500,
1125,,,"man hole 15"" (plastic)",,,,1,,1400,,,2200,
1126,,,"man hole 18"" (plastic)",,,,1,,2100,,,3700,
1127,,,"man hole 24"" (plastic)",,,,1,,2950,,,4500,
1128,,,l bracket 6*8 (black angle),,,,1,,100,,,150,
1129,,,"smt disc stone 5"" (masala)",,,,1,,175,,,250,
1130,,,"juiblee clamp 1-1/2""",,,,1,,27,,,60,
1131,,,"juiblee clamp 2""",,,,1,,25,,,80,
1132,,,"juiblee clamp 4""",,,,1,,50,,,100,
1133,,,local light plug (single),,,,1,,180,,,450,
1134,,,SBI power plug ,,,,1,,300,,,600,
1198,,,"warma 8 mm (hilti) 6""",,,,1,,100,,,180,
1199,,,"warma 10 mm (hilti) 6""",,,,1,,110,,,190,
1200,,,smt hole saw 16mm,,,,1,,224,,,300,
1201,,,smt hole saw 18mm,,,,1,,252,,,320,
1202,,,smt hole saw 25mm,,,,1,,350,,,450,
1203,,,"warma 12mm (hilti) 6""",,,,1,,120,,,250,
1204,,,sink bowl 15 x 19 (green),,,,1,,1250,,,3000,
1205,,,balti + tub (set),,,,1,,1500,,,2200,
1206,,,sink mixer china (wall),,,,1,,3300,,,6500,
1207,,,garmala plastic (S),,,,1,,70,,,150,
1208,,,gole lock (N),,,,1,,720,,,1200,
1209,,,garmala plastic  (L),,,,1,,80,,,160,
1210,,,"mixer pipe 18"" (plastic)",,,,1,,160,,,450,
1211,,,water filter jumbo (set),,,,1,,4500,,,8500,
1212,,,fan dimer (matrix),,,,1,,402,,,600,
1213,,,filter cone jumbo (ppf),,,,1,,550,,,850,
1214,,,filter cone jumbo (dhaga),,,,1,,1675,,,2200,
1215,,,filter foam (medium),,,,1,,230,,,400,
1216,,,filter foam (normal),,,,1,,90,,,250,
1217,,,water filter dual (set),,,,,,2500,,,4000,
1218,,,tape water proof,,,,1,,90,,,150,
1219,,,"binding tape 1.5"" (8+10yrd.)",,,,1,,125,,,280,
1220,,,bull extention (GN-103),,,,1,,410,,,650,
1221,,,bull extention (GN-C5),,,,1,,880,,,1250,
1222,,,khunti grace,,,,1,,100,,,200,
1223,,,bull extention (GN-413),,,,1,,760,,,1100,
1255,,,"ktz ball valve 1"" china",,,,1,,1350,,,2200,
1256,,,mb toiler shower color,,,,1,,100,,,300,
1257,,,led tube 4feet (single) T8,,,,1,,650,,,950,
1258,,,cemetex (dabi),,,,1,,300,,,400,
1259,,,bib cock ARK ,,,,1,,800,,,1200,
1260,,,uniqe seat cover (blue),,,,1,,900,,,1600,
1261,,,"crome bracket 1"" double (H)",,,,1,,150,,,250,
1262,,,MT wire lock 15mm,,,,1,,893,,,1400,
1263,,,rope light conector,,,,1,,80,,,120,
1264,,,energy saver 25w globe,,,,1,,200,,,650,
1265,,,shelf bracket china,,,,1,,10,,,15,
1266,,,china tee cock ,,,,,,328.5,,,550,
1267,,,ppr heater (N),,,,1,,1350,,,1800,
1268,,,spindal wall shower,,,,1,,525,,,850,
1269,,,"mixer pipe 24"" (plastic)",,,,1,,210,,,500,
1270,,,jharu phool (M),,,,1,,250,,,380,
1271,,,handle lock golden (BIG),,,,1,,3500,,,6500,
1272,,,dada bottle tap,,,,1,,220,,,350,
1273,,,dada pump (manual),,,,1,,850,,,1250,
1274,,,parda ring (golden texture),,,,1,,50,,,120,
1275,,,"gas valve 1/4"" china",,,,,,220,,,380,
1276,,,"gas valve 1/4"" (chutki)",,,,1,,110,,,200,
1277,,,poly box 8*10,,,,1,,220,,,250,
1278,,,ari shutering,,,,1,,170,,,300,
1279,,,pump cycle (big),,,,1,,450,,,600,
1280,,,car toechain,,,,1,,480,,,680,
1281,,,"disc 5"" marble",,,,,,500,,,850,
1282,,,"grohee nut 3/8""*1/2""",,,,1,,120,,,280,
1283,,,iron nation (panasonic),,,,1,,2800,,,3800,
1284,,,uniqe float valve side ,,,,1,,60,,,350,
1285,,,RAQY float valve side,,,,1,,1600,,,3000,
1446,,,"ac nut 5/8""x1/2""",,,,1,,160,,,220,
1447,,,"ac nut 3/8""x1/2""",,,,1,,130,,,200,
1448,,,"ac nut 3/8""x1/4""",,,,1,,90,,,180,
1449,,,"ac union 1/2""",,,,1,,130,,,180,
1450,,,"ac union 1/4""",,,,1,,50,,,90,
1451,,,"ac union 3/8""",,,,1,,80,,,130,
1452,,,"ac union 5/8""",,,,1,,155,,,200,
1453,,,hamer ktc (s),,,,1,,450,,,650,
1454,,,torqe termite 250ml,,,,1,,700,,,1050,
1455,,,torqe termite 1ltr.,,,,1,,2200,,,4000,
1456,,,2 core 23/76 gole,,,,1,,13,,,30,
1457,,,"pvc wall socket 2""",,,,1,,60,,,90,
1458,,,"hinges 3""",,,,1,,40,,,60,
1459,,,"jali exaust 16"" plastic",,,,1,,220,,,400,
1460,,,RAQY side thimble,,,,1,,750,,,1800,
1461,,,cell toshiba (D size) big,,,,1,,142.65,,,250,
1462,,,"ac valve 1/4"" expert",,,,1,,650,,,1000,
1463,,,"ac valve 1/2"" expert",,,,1,,950,,,1350,
1464,,,"tee arm 15"" ",,,,1,,800,,,1200,
1465,,,float switch,,,,1,,550,,,850,
1466,,,aluminium ladder (H),,,,1,,720,,,1200,
1467,,,"l koni 1"" N",,,,1,,3.65,,,10,
1468,,,element heater gole,,,,1,,300,,,600,
1469,,,china button+socket,,,,1,,40,,,80,
1470,,,"binding tape 1"" (10 yrd.)",,,,1,,100,,,200,
1471,,,belcha 4,,,,1,,433.333,,,600,
1472,,,belcha 5,,,,1,,466.6666,,,650,
1473,,,teshi,,,,1,,159,,,250,
1474,,,"hood jali 6""",,,,1,,420,,,550,
1475,,,kandi,,,,1,,167,,,250,
1476,,,kandi majola,,,,1,,71,,,200,
1477,,,garmala steel,,,,1,,192,,,250,
1634,,,hinges 5',,,,1,,105,,,150,
1635,,,presure kit espa,,,,1,,1500,,,2400,
1636,,,"hood pipe 1m 6""",,,,1,,450,,,750,
1637,,,"hole saw 2""",,,,1,,240,,,400,
1638,,,"hole saw 2-1/2""",,,,1,,260,,,450,
1639,,,glue dabi 175grm,,,,1,,100,,,150,
1640,,,side pilar cock ARK,,,,1,,950,,,1800,
1641,,,smd open 18w,,,,1,,750,,,1250,
1642,,,db box 22 breakers 019,,,,1,,2650,,,3900,
1643,,,smd downlight 18w adj.,,,,1,,470,,,600,
1644,,,smd downlight 24w adj.,,,,1,,720,,,900,
1645,,,wiper brush long,,,,1,,350,,,550,
1646,,,fuji capacitor 3.5,,,,1,,90,,,200,
1647,,,english 3/29 british,,,,1,,5400,,,6500,
1648,,,english 7/29 british,,,,1,,11300,,,13500,
1649,,,mechanical seal special,,,,1,,125,,,250,
1650,,,presure nozzle (H),,,,1,,320,,,750,
1651,,,2 core cable 40/76 copper(black),,,,1,,72.222,,,150,
1652,,,vanity mixer (small),,,,1,,1900,,,5000,
1653,,,vanity mixer medium (spring),,,,1,,7200,,,9800,
1654,,,zahid wall shower ferari,,,,1,,5500,,,10000,
1655,,,ac service cloth ,,,,1,,1750,,,2000,
1656,,,conector strip 60amp,,,,1,,245,,,450,
1657,,,conector strip 100amp (loose),,,,1,,95,,,200,
1658,,,"earl draz 10"" (brass0",,,,1,,900,,,1800,
1659,,,"ear draz 12"" (brass)",,,,1,,1100,,,2000,
1660,,,"dabi machine screw 3/16""x3/4""",,,,1,,197,,,350,
